run,arrival_rate,service_rate,queue_capacity,sim_time,blocking_probability,avg_num_in_system,avg_num_in_queue,avg_wait_time,avg_queue_time,server_utilization,prob_n_in_queue,queue_over_time
1,0.75,1.0,10,1000,0.009562841530054645,2.149596613554006,1.4709681435404873,2.9386620682150815,1.995655250559444,0.6780219018944026,"{""0"": 0.5566810710484925, ""1"": 0.148118237510207, ""2"": 0.09003819398570898, ""3"": 0.049986377213954325, ""4"": 0.03106831751664196, ""5"": 0.02477872985314781, ""6"": 0.02754842718380739, ""7"": 0.03076581049448943, ""8"": 0.016373368604191568, ""9"": 0.013405384206700219, ""10"": 0.01123608238265878}","[[3.8238249702488236, 0], [20.93680461754613, 0], [40.97962562832395, 0], [60.56814639477027, 0], [80.17031676591984, 3], [101.48703780766142, 7], [120.83132805220035, 0], [140.9097180822947, 0], [161.19842376989791, 1], [180.79921555469974, 0], [200.93222602215968, 0], [222.78819305962807, 2], [240.95328814613887, 0], [261.7582499630422, 0], [280.4077969274847, 6], [301.0180025471604, 1], [320.1340176863956, 1], [340.26839062822523, 0], [360.82815734554543, 0], [380.4391686288144, 0], [400.13151724296927, 0], [422.1849544455462, 1], [440.59320295397674, 5], [460.19113542587434, 10], [481.4126993536483, 6], [501.86726561659196, 0], [520.5052307324917, 5], [540.4948953182414, 0], [561.2450006030267, 2], [580.5665901572053, 1], [600.5860831554374, 3], [621.9409917902769, 0], [640.2114259188509, 2], [663.2131339715695, 0], [680.5941648180776, 0], [700.1919951782896, 1], [720.8114982408193, 0], [740.5737611396787, 1], [760.35081448167, 0], [780.4049646812591, 5], [800.4446458938164, 0], [820.8225154988247, 3], [842.1242986348462, 0], [861.5098345586957, 0], [880.4427879153781, 1], [902.8743636957046, 0], [920.6061963924418, 1], [940.3149416400186, 0], [963.3176915697259, 0], [980.1871403757715, 0], [1000, 6]]"
2,0.75,1.0,10,1000,0.008130081300813009,2.410283133979645,1.670472340881335,3.2927365218301183,2.2820660394553753,0.7398107930983123,"{""0"": 0.45734759328631974, ""1"": 0.14207170323803034, ""2"": 0.10791326038605852, ""3"": 0.10711157595062505, ""4"": 0.07686049268731689, ""5"": 0.04817202980523689, ""6"": 0.024373536562675695, ""7"": 0.01074923505912419, ""8"": 0.012517713671844035, ""9"": 0.007518898448502, ""10"": 0.005363960904266662}","[[0.9516028683540496, 0], [20.037582363628722, 1], [40.90049260624001, 0], [60.10068939990216, 0], [81.40512752609092, 0], [100.7867679884898, 0], [120.78478922183416, 0], [140.10014129219698, 1], [160.66283848700465, 2], [180.29727103562826, 0], [201.36474085812486, 3], [221.03320301027446, 0], [240.65010255454817, 0], [261.18345427323527, 2], [280.12104909085707, 1], [300.15373555723346, 0], [320.139928378609, 4], [340.1615984746854, 1], [360.4112559086621, 5], [381.28065097554935, 0], [400.12020267483257, 1], [421.1649186598145, 9], [441.1370908856103, 3], [461.2384661592214, 0], [480.327267241326, 0], [500.59305737046316, 4], [521.012032628002, 1], [540.7249453623999, 2], [562.7499803956243, 0], [580.7649308446846, 1], [600.0632834319524, 1], [620.1795105912038, 0], [640.3673635195108, 0], [660.5067864682236, 3], [680.7893770708324, 1], [700.408620934152, 4], [720.1295498596385, 0], [740.8525193442822, 5], [760.0345929487758, 3], [782.3848171663548, 0], [800.1699994235523, 0], [821.8305841419609, 1], [840.3435930648086, 2], [860.3709395266877, 0], [880.3802852905333, 2], [900.8134815748571, 6], [923.2299117770053, 0], [941.8228620755614, 8], [961.2950473359892, 3], [980.3224310427055, 4], [1000, 0]]"
3,0.75,1.0,10,1000,0.009259259259259259,2.641727731110423,1.8985812678772718,3.5242432877311742,2.5348214524396164,0.7410769546333769,"{""0"": 0.4695027993228825, ""1"": 0.1361078008919605, ""2"": 0.09570649603084688, ""3"": 0.06646336939224834, ""4"": 0.06791367403825575, ""5"": 0.051615234058863556, ""6"": 0.03463559354066496, ""7"": 0.03247924879677856, ""8"": 0.01729246420052259, ""9"": 0.014401713395851232, ""10"": 0.013881606331125113}","[[0.6198767853920966, 0], [21.264023210255115, 1], [40.08742242333762, 0], [60.47077737035895, 0], [80.1274022710724, 1], [100.21954722677252, 2], [120.39162416866246, 4], [140.67657145392803, 3], [160.07938970627512, 3], [181.27510565567272, 0], [200.36338317495054, 0], [220.37528435185592, 1], [240.17124816301853, 5], [260.9559486037012, 3], [280.0322317956535, 10], [301.10562960621724, 1], [320.57408292958894, 0], [342.0225695753702, 0], [360.7629962910184, 1], [380.5787138628224, 0], [401.6280694268407, 6], [420.962438441988, 9], [440.59350557831823, 0], [460.35232012789345, 0], [480.83033112915643, 0], [504.868087327415, 0], [520.5009533682298, 1], [541.7567949820188, 0], [560.4114751031497, 0], [581.3765896667645, 3], [600.1163255434725, 6], [620.5612729356485, 7], [640.7015334271046, 5], [660.897045815361, 3], [681.2428397290867, 1], [700.8774322261642, 0], [721.0860966912944, 3], [740.923334540292, 0], [760.8821460337026, 0], [782.8826046237474, 5], [800.5524332954155, 2], [820.4198930049118, 3], [840.731099947073, 4], [860.9023635172355, 1], [885.2169531078063, 0], [900.3443901138796, 5], [921.8080331117718, 1], [941.2097869243491, 1], [960.2931728860049, 0], [980.0490192311214, 0], [1000, 0]]"
4,0.75,1.0,10,1000,0.012517385257301807,2.483800482224299,1.7741971507812992,3.498150695752685,2.4988692264525363,0.7094898432031058,"{""0"": 0.4927494142644755, ""1"": 0.13140195056398557, ""2"": 0.09064404154625144, ""3"": 0.08160564029333191, ""4"": 0.062537479568423, ""5"": 0.03696416746360239, ""6"": 0.03257723279778418, ""7"": 0.023049581961170476, ""8"": 0.021540386460592417, ""9"": 0.016715172350356595, ""10"": 0.010214932730026561}","[[1.822235725308479, 0], [20.786692069240438, 0], [40.317874191929974, 2], [60.287500839911715, 6], [81.01036281259483, 2], [100.45166322332987, 4], [121.16011083512969, 0], [140.1478599099547, 1], [160.81280173846307, 4], [181.50684520759054, 0], [200.71604103853795, 2], [220.4149853480416, 0], [240.09191259897366, 0], [260.6269920858863, 5], [280.35988216969605, 0], [302.49891427610396, 0], [320.66820999107597, 0], [340.4021294731148, 0], [361.179219132026, 0], [380.0415657223628, 1], [400.2866907364858, 4], [420.0658622509424, 1], [441.2675374592362, 7], [460.0043750842912, 5], [484.3889095844958, 0], [500.67529506435983, 3], [521.0358901056545, 0], [540.1526294296804, 0], [560.2794669049038, 1], [581.2861011621287, 1], [600.3698588469463, 2], [620.3919834231735, 5], [641.7738106470596, 0], [660.3299945278432, 1], [680.699093115421, 4], [700.9205606731591, 0], [720.1725844364903, 0], [740.5652293873895, 0], [760.4112876756004, 0], [780.5793471544716, 2], [801.6360465491919, 9], [820.7293984896866, 0], [846.1377511511693, 0], [861.2179357879968, 0], [880.6082586270095, 0], [900.3575749845362, 0], [920.9300270157192, 2], [940.7449652326651, 3], [960.8481731442347, 0], [983.2632297357754, 0], [1000, 0]]"
5,0.75,1.0,10,1000,0.013959390862944163,2.6329976757476166,1.8794036377110108,3.3920645752944547,2.4215090631676794,0.7531510774103773,"{""0"": 0.42798499397008166, ""1"": 0.16052853038049078, ""2"": 0.11111488456983089, ""3"": 0.08516698255985868, ""4"": 0.0708357681402359, ""5"": 0.043502860998376275, ""6"": 0.0373077548389881, ""7"": 0.025200806916797863, ""8"": 0.015804739899268058, ""9"": 0.011929860947916178, ""10"": 0.010622816778155582}","[[0.8719016132736385, 0], [20.31551910885917, 0], [40.28229469447215, 4], [60.4021608034158, 0], [80.09263311058389, 7], [100.91457299322558, 0], [120.37314402053684, 0], [140.04164488729472, 3], [160.25510628008442, 3], [180.09566629821285, 0], [201.441515398728, 0], [220.32622528990697, 1], [240.11906840721127, 1], [262.1041676652129, 0], [280.5460874529242, 0], [300.72783113425584, 4], [321.4917871856012, 3], [340.5352501510349, 0], [360.0318275069714, 4], [380.4546487714217, 0], [400.17281940366496, 0], [420.3340348405648, 0], [440.26087273239636, 1], [462.0728706242052, 0], [480.0505443868949, 2], [500.2621703469921, 2], [520.1167044040186, 1], [540.1068543402048, 4], [560.2007577102567, 6], [581.5534499649883, 9], [600.344160791032, 1], [620.0174311760491, 0], [641.1229314612904, 2], [660.6137699962096, 0], [681.5852783749285, 3], [700.6898392541242, 2], [720.704452127022, 0], [741.0413087977411, 0], [760.0854901527097, 3], [780.1189751552927, 8], [800.0558254292707, 0], [822.4633447130443, 0], [844.0995962832859, 0], [862.463009050604, 0], [880.2367793789067, 7], [900.4694643257201, 0], [920.9908790314926, 2], [940.8992994130085, 0], [960.3540975159526, 0], [981.2275656135433, 2], [1000, 1]]"
6,0.75,1.0,10,1000,0.0013477088948787063,2.400252449836815,1.6641561383884933,3.246676037123987,2.248223033376334,0.7358598637620207,"{""0"": 0.4564374968914304, ""1"": 0.14799882197619033, ""2"": 0.12461646470964258, ""3"": 0.09355171435492791, ""4"": 0.05600394768093885, ""5"": 0.04400206462690637, ""6"": 0.034704697496219884, ""7"": 0.019477855188828073, ""8"": 0.013322332539053832, ""9"": 0.007754746900218436, ""10"": 0.0021298576356433047}","[[4.237796761662255, 0], [20.316412672071866, 0], [40.0246294982385, 4], [60.53474063668352, 3], [80.52474598553137, 1], [100.3661388259417, 0], [120.30875181992043, 2], [140.73983720441774, 2], [160.8763748080191, 0], [182.06647485710673, 0], [201.55920944238613, 1], [223.22856216069002, 0], [241.45507768028403, 0], [260.22389538031706, 0], [280.01204225271545, 1], [300.18983303511516, 5], [320.13992835929884, 5], [341.06220180710386, 0], [360.1559553086488, 0], [380.52191488150163, 2], [401.30357891599317, 9], [421.04271386954895, 0], [440.01766562006907, 0], [460.5503518179877, 7], [480.8950752470761, 2], [503.10611861509625, 0], [521.058073053342, 4], [540.9378470438434, 0], [560.7243133444139, 0], [580.2963523871801, 0], [600.1262031544007, 2], [620.6322072702369, 0], [640.5651384303858, 2], [660.2029075919753, 0], [681.501849776564, 0], [700.4032853552142, 5], [720.2609934820566, 3], [740.0730454568406, 1], [760.1770246418683, 1], [780.0861586354396, 4], [801.0207499593033, 4], [822.535742333735, 0], [840.2448986725187, 0], [860.8654134212688, 1], [880.2737780656759, 0], [901.0595796612145, 2], [920.6845912347688, 3], [941.0582647607391, 7], [960.1694754749233, 0], [981.0237346494537, 0], [1000, 4]]"
7,0.75,1.0,10,1000,0.01078167115902965,2.2872951318918013,1.5605785416135807,3.117002424955017,2.128167991337599,0.7248156398415685,"{""0"": 0.48671227541712947, ""1"": 0.16635682505654142, ""2"": 0.08888854834661315, ""3"": 0.08159378754901025, ""4"": 0.06298773283129264, ""5"": 0.04442832583927033, ""6"": 0.028654704427202065, ""7"": 0.017422028230707372, ""8"": 0.008800972272723953, ""9"": 0.008267505959788366, ""10"": 0.005887294069720952}","[[0.6991385435445078, 0], [21.092598830092886, 1], [40.318978761153744, 2], [60.494319813948756, 5], [80.74952968007292, 0], [100.36288216704695, 4], [120.15228040444825, 1], [143.0897555918428, 4], [161.18148052171807, 0], [180.05965985289683, 1], [202.14466815580857, 1], [220.13988800071112, 3], [240.3129393116863, 4], [260.87134778924224, 9], [280.06178505429284, 4], [300.0133533883443, 3], [320.46101984821087, 1], [340.3801627237765, 0], [360.4668066954175, 4], [380.35037040146483, 0], [400.1208595938297, 0], [420.04464401704973, 1], [440.5419883210312, 4], [460.6928818569745, 9], [481.2851214762169, 1], [500.15010998592635, 0], [521.4059908433818, 0], [542.119891071914, 3], [560.3349292352825, 5], [581.3173501329635, 1], [600.3302780288399, 1], [620.520847154406, 3], [640.6554718125163, 0], [660.0941428893415, 0], [680.9532276493502, 0], [700.8625048718707, 1], [721.1798894564627, 2], [740.7938247400709, 1], [762.5662595199386, 0], [780.2227096538088, 0], [800.3052369076437, 0], [821.8376833966825, 0], [842.2771552590832, 0], [860.1837019499083, 0], [880.2181240928089, 0], [900.9378882633908, 0], [920.705511177113, 0], [941.060433572592, 0], [960.0167870456927, 0], [980.4565406007839, 2], [1000, 1]]"
8,0.75,1.0,10,1000,0.018867924528301886,3.473989663925521,2.628107648636861,4.452141686582842,3.369368780303668,0.8445628668977563,"{""0"": 0.2924106718507014, ""1"": 0.13964485878380822, ""2"": 0.12464082443290544, ""3"": 0.1224799843052996, ""4"": 0.09149507520979543, ""5"": 0.07543584109319687, ""6"": 0.049006258693349056, ""7"": 0.046132111746757486, ""8"": 0.02893734836614982, ""9"": 0.018049694730784466, ""10"": 0.011767330787252148}","[[0.04072165244913291, 0], [20.5445641143151, 1], [44.11618544745145, 0], [60.472099541407644, 4], [80.87141130900298, 0], [100.04041414348988, 3], [120.05569319031446, 0], [140.1718683756081, 7], [161.10584371727225, 2], [180.21453240906658, 0], [200.00228305296, 1], [221.24366935812745, 0], [240.0893747164699, 0], [260.3156918210757, 4], [284.8051322219663, 0], [300.2525754511721, 4], [320.5306443001066, 2], [340.6203950772207, 1], [361.9085380084115, 5], [380.3775497147972, 4], [401.20760620870516, 3], [422.0957350854683, 0], [440.22146136125957, 2], [460.04726529854605, 6], [480.28583917524475, 3], [500.70155142857914, 0], [520.7956775040388, 7], [540.6080757152861, 7], [560.0605753556862, 1], [580.4511963818492, 3], [600.1131242831167, 3], [620.2010286001915, 3], [643.9501103656746, 0], [660.7360121559843, 1], [680.0929224992726, 8], [700.4338796323636, 0], [720.1487280450289, 5], [740.3580958893086, 6], [760.1085767228301, 8], [780.4491163087907, 3], [800.2632234155632, 0], [820.7936389577384, 2], [840.589160744943, 1], [861.385909434401, 5], [880.628739780549, 5], [900.9373536495464, 1], [920.0780050228968, 3], [940.9200707942989, 3], [960.357580183397, 4], [980.5044335792257, 4], [1000, 0]]"
9,0.75,1.0,10,1000,0.015286624203821656,3.2765430157615216,2.479637921871304,4.238701925004334,3.205881463252577,0.7952717555488538,"{""0"": 0.36845322080192805, ""1"": 0.15562431775810898, ""2"": 0.11170944021334123, ""3"": 0.06986797827932754, ""4"": 0.05229076730190407, ""5"": 0.06653203295884506, ""6"": 0.043964413696190835, ""7"": 0.040678574218229485, ""8"": 0.040294329911122875, ""9"": 0.027572834757063448, ""10"": 0.02301209010393839}","[[2.675447523618591, 0], [20.07559254017155, 0], [40.656914779376095, 0], [60.18231212523126, 2], [80.29871286809528, 2], [100.15119701870074, 3], [121.4849907564904, 0], [140.46953390202057, 7], [161.82735075386157, 5], [180.29144759332436, 8], [200.2329416450987, 2], [220.663932554896, 1], [241.07985078932825, 0], [260.1239552252302, 2], [280.2859495316798, 0], [300.9384151075775, 9], [321.7427144703832, 7], [340.4420970763129, 0], [360.6639375555848, 0], [380.2567254598687, 0], [400.02891316535676, 10], [420.4398273794416, 1], [440.7479328212395, 1], [460.9885300429761, 0], [480.21467176237746, 1], [501.2560461251322, 0], [520.9074674853972, 5], [540.9417865018645, 0], [560.3182740767068, 1], [581.1553120744276, 9], [600.2360190839948, 6], [621.37541230349, 1], [640.182622272862, 0], [660.2718478575208, 0], [680.8947971111944, 0], [700.3897591772791, 0], [720.6442481074421, 1], [740.2306325858427, 0], [760.1228241419525, 1], [780.4364212161169, 3], [800.4531818633736, 0], [822.672582236872, 0], [843.4844135198097, 0], [861.1061762880415, 5], [880.5202149816017, 1], [900.3422779574977, 0], [920.7218774659395, 0], [940.1005970809181, 6], [960.408388414593, 2], [980.2749904586731, 9], [1000, 3]]"
10,0.75,1.0,10,1000,0.009887005649717515,1.9198502170193754,1.262826335664097,2.738091250843576,1.8014641022312379,0.6565756311772488,"{""0"": 0.578690878775875, ""1"": 0.13887778758446603, ""2"": 0.08809437835269325, ""3"": 0.06586269920097333, ""4"": 0.04280514251918, ""5"": 0.02680862503123556, ""6"": 0.018960439763348772, ""7"": 0.012121846000577776, ""8"": 0.011683138459700317, ""9"": 0.0081233128428118, ""10"": 0.007971751469138155}","[[0.7770339282395182, 0], [20.45226581239452, 1], [40.27195978686725, 6], [60.04219955870305, 1], [80.22489329040835, 1], [100.47813397237064, 0], [121.62685658458707, 3], [140.58019334157987, 7], [160.16151075990376, 9], [180.395939967859, 2], [202.74607856479128, 0], [220.74112866995074, 0], [240.98145802555774, 1], [262.99540100744184, 1], [281.01982662444146, 2], [300.5169893254039, 0], [320.07323260155715, 3], [340.24342439383787, 0], [360.11280924321653, 0], [380.42411735628514, 4], [400.02923012208834, 6], [420.26975063913846, 0], [441.00748849568936, 0], [460.9079545500157, 0], [481.30578904562566, 0], [501.8788426070212, 0], [520.2336829416304, 0], [540.1471928751253, 0], [560.0636916918874, 0], [580.2484223103418, 1], [601.1590091663812, 0], [620.0607417470222, 0], [640.7062011270592, 3], [660.5490205775967, 1], [680.6553603862086, 0], [700.0779813848823, 0], [720.3246691695241, 3], [741.4109605275719, 0], [760.1280904860473, 0], [781.3463425317391, 0], [803.7067635489112, 0], [820.862056470348, 0], [843.9067829319654, 0], [863.8390635830887, 0], [881.6965523652382, 0], [900.0671460413176, 2], [921.1789399267836, 0], [940.5518845986062, 0], [961.2746805922644, 0], [980.4481899817365, 0], [1000, 0]]"
